name,11-10,11-11,11-12,11-13,11-14,11-15,11-16
Grammy,19273,24508,35009,27691,36383,970053,713048
Pokémon,175423,585329,474922,232205,242877,251210,331174
Senate,334002,284659,391925,1035279,367265,290031,327578
Russia,272679,317613,284991,248516,276131,646837,664490
Ronaldo,101235,78817,55600,422901,1115471,544900,456329
YET TO COME,44907,33970,31234,32351,41248,554342,333209
Batman,35763,447697,230272,70303,54438,48890,55376
Veterans Day,27623,443105,211138,33410,13361,6957,4616
Qatar,217174,238488,562247,288186,399507,531238,439025
DeSantis,314548,566547,233327,178843,141991,129896,178665
BTS WORLD CUP,5665,2980,281397,217859,57335,23375,4308
Ticketmaster,12580,15700,23596,12578,48143,441180,190545
Album of the Year,21013,22260,18364,14164,13940,466791,217544
Kevin Conroy,27,342702,148661,23752,26828,6346,12997
Poland,19598,43496,21499,17284,19068,562970,703102
ポッキー,191525,909139,248562,73154,37244,26234,17191
Run BTS,37669,8145,32007,398335,202375,274408,303894
Argentina,169888,303652,215378,187340,221616,212836,287546
ARMY WORLD CUP,3639,1822,17426,201781,125537,1074,862
Messi,98856,122569,118804,160532,256881,187262,270872
